,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Luderitz,NA,-26.65,15.16,63.1,27,0,8.14,clear sky
346,Leiyang,CN,26.4,112.86,96.62,44,100,4.5,overcast clouds
347,Limoges,FR,45.75,1.33,72.0,73,50,5.82,scattered clouds
348,Longyearbyen,SJ,78.22,15.64,42.8,81,75,9.17,broken clouds
349,Haines Junction,CA,60.75,-137.51,50.54,81,100,3.18,overcast clouds
350,Gazimurskiy Zavod,RU,51.55,118.33,75.49,60,10,9.1,light rain
351,Mehamn,NO,71.04,27.85,51.8,81,77,5.82,broken clouds
352,Saint George,US,37.1,-113.58,89.6,14,1,8.05,clear sky
353,Ceuta,ES,35.89,-5.31,69.8,83,20,8.05,few clouds
354,Kaitangata,NZ,-46.28,169.85,48.99,80,99,0.94,overcast clouds
355,Manuk Mangkaw,PH,4.8,119.85,85.17,68,9,6.51,clear sky
356,Grand-Santi,GF,4.25,-54.38,71.76,93,75,3.06,broken clouds
357,Mitsamiouli,KM,-11.38,43.28,78.8,65,20,4.7,few clouds
358,Lixourion,GR,38.2,20.43,78.8,83,0,2.91,clear sky
359,Lorengau,PG,-2.02,147.27,84.65,72,18,10.22,few clouds
360,Oksfjord,NO,70.24,22.35,52.0,81,75,2.24,broken clouds
361,Kamenka,RU,51.32,42.77,68.0,44,0,5.01,clear sky
362,Swindon,GB,51.56,-1.78,64.4,77,75,20.8,broken clouds
363,Kirkuk,IQ,35.47,44.39,98.15,12,0,8.75,clear sky
364,Ballitoville,ZA,-29.54,31.21,60.8,63,20,6.93,few clouds
365,Dingle,PH,11.0,122.67,86.13,76,100,7.45,light rain
366,Obsharovka,RU,53.12,48.85,64.26,49,0,10.8,clear sky
367,Bria,CF,6.54,21.99,76.46,88,97,1.61,overcast clouds
368,Karratha,AU,-20.74,116.85,84.97,18,0,10.89,clear sky
369,Boueni,YT,-12.9,45.08,80.6,69,1,6.93,clear sky
370,Aykhal,RU,66.0,111.5,60.8,41,63,4.47,broken clouds
371,Boysun,UZ,38.21,67.2,80.78,16,0,9.22,clear sky
372,Saint-Joseph,RE,-21.37,55.62,77.0,65,34,16.11,scattered clouds
373,Obihiro,JP,42.92,143.2,68.0,72,75,4.7,broken clouds
374,Zharkent,KZ,44.16,80.0,88.99,17,0,6.22,clear sky
375,Mogadishu,SO,2.04,45.34,78.8,69,40,12.75,scattered clouds
376,Itaituba,BR,-4.28,-55.98,72.05,49,73,0.6,broken clouds
377,Bakchar,RU,57.02,82.07,67.46,37,12,11.41,few clouds
378,Bukachacha,RU,52.98,116.92,73.96,61,67,4.79,light rain
379,Pisco,PE,-13.7,-76.22,57.2,87,75,4.7,broken clouds
380,Capitao Poco,BR,-1.75,-47.06,70.12,97,11,4.61,few clouds
381,Bathsheba,BB,13.22,-59.52,80.6,88,40,4.7,shower rain
382,Bilibino,RU,68.05,166.44,43.0,79,100,6.6,overcast clouds
383,Bhor,IN,18.17,73.85,73.09,89,100,10.83,light rain
384,Port Moresby,PG,-9.44,147.18,82.4,74,40,17.22,haze
385,Anzhero-Sudzhensk,RU,56.08,86.03,68.0,45,58,8.95,broken clouds
386,Meulaboh,ID,4.14,96.13,83.03,79,100,6.02,light rain
387,Suntar,RU,62.14,117.63,66.16,41,100,3.09,overcast clouds
388,Rosetta,EG,31.4,30.42,82.45,67,0,13.44,clear sky
389,Kautokeino,NO,69.01,23.04,51.28,88,100,5.93,overcast clouds
390,Cidreira,BR,-30.18,-50.21,45.97,71,23,9.71,few clouds
391,Rio Gallegos,AR,-51.62,-69.22,41.0,75,100,4.7,overcast clouds
392,Chicama,PE,-7.84,-79.15,60.64,83,100,5.32,overcast clouds
393,Aksarka,RU,66.56,67.8,56.07,92,100,16.08,light rain
394,Acarau,BR,-2.89,-40.12,74.7,89,36,11.32,scattered clouds
395,Manati,PR,18.43,-66.49,77.0,97,99,6.06,overcast clouds
396,Praia,CV,14.92,-23.51,78.8,65,40,5.82,scattered clouds
397,Grand Gaube,MU,-20.01,57.66,77.0,57,95,8.01,overcast clouds
398,Verkhnyaya Inta,RU,65.98,60.31,62.24,64,72,10.56,broken clouds
399,Northam,GB,51.03,-4.22,64.0,84,97,21.0,overcast clouds
400,San Cristobal,VE,7.77,-72.22,65.53,83,71,1.28,broken clouds
401,Alice Springs,AU,-23.7,133.88,77.0,14,0,8.05,clear sky
402,Pasni,PK,25.26,63.47,83.12,77,100,6.53,overcast clouds
403,Desbiens,CA,48.42,-71.95,59.0,82,90,3.36,overcast clouds
404,Kampot,KH,10.62,104.18,89.6,66,20,8.05,few clouds
405,Inuvik,CA,68.35,-133.72,53.6,87,75,3.36,broken clouds
406,Uaua,BR,-9.84,-39.48,66.11,92,43,9.28,scattered clouds
407,Gasa,PS,31.5,34.47,80.01,42,0,1.01,clear sky
408,Price,US,39.6,-110.81,69.8,32,1,5.82,clear sky
409,Calamar,CO,10.25,-74.91,75.97,93,90,1.9,overcast clouds
410,Lagoa,PT,39.05,-27.98,68.43,73,100,10.47,overcast clouds
411,Rundu,NA,-17.93,19.77,58.19,26,17,7.56,few clouds
412,Yahotyn,UA,50.28,31.76,73.0,60,92,6.71,overcast clouds
413,Iqaluit,CA,63.75,-68.51,44.6,93,75,5.82,broken clouds
414,Inirida,CO,3.87,-67.92,73.58,95,100,1.61,light rain
415,Christchurch,NZ,-43.53,172.63,50.0,93,100,9.17,overcast clouds
416,Letterkenny,IE,54.95,-7.73,59.0,82,40,16.11,scattered clouds
417,Takhtamygda,RU,54.1,123.57,76.39,42,98,6.42,overcast clouds
418,Brownfield,US,33.18,-102.27,73.0,52,0,1.99,clear sky
419,Kajaani,FI,64.23,27.73,64.4,72,0,4.7,clear sky
420,Tocopilla,CL,-22.09,-70.2,56.55,64,1,4.56,clear sky
421,Salinopolis,BR,-0.61,-47.36,78.51,83,24,9.31,few clouds
422,Alcantara,BR,-2.41,-44.41,77.0,94,100,3.36,overcast clouds
423,Bandundu,CD,-3.32,17.37,78.64,67,88,6.42,light rain
424,Severnoye,RU,56.35,78.36,60.62,75,76,11.9,light rain
425,Kuvshinovo,RU,57.03,34.17,64.36,56,0,3.74,clear sky
426,Ilo,PE,-17.64,-71.34,58.86,80,99,6.73,overcast clouds
427,Nichinan,JP,31.6,131.37,89.6,75,75,6.93,broken clouds
428,Zirgan,RU,53.22,55.92,56.52,81,100,5.46,overcast clouds
429,Luau,AO,-10.71,22.22,78.33,22,0,10.87,clear sky
430,Aklavik,CA,68.22,-135.01,53.6,87,75,3.36,broken clouds
431,Shimoni,KE,-4.65,39.38,77.61,74,77,8.46,light rain
432,Puerto Baquerizo Moreno,EC,-0.9,-89.6,65.26,84,64,13.38,broken clouds
433,Kolondieba,ML,11.09,-6.89,71.87,94,99,8.19,light rain
434,Mayskiy,RU,47.69,40.1,75.2,38,20,8.95,few clouds
435,Kamaishi,JP,39.27,141.88,89.6,55,40,8.05,scattered clouds
436,Tahoua,NE,14.89,5.27,80.6,78,100,4.7,overcast clouds
437,La Sarre,CA,48.8,-79.2,47.88,97,11,4.56,few clouds
438,Caluquembe,AO,-13.78,14.68,62.19,24,100,6.38,overcast clouds
439,Nizhnekamsk,RU,55.64,51.82,55.4,93,75,11.18,light intensity shower rain
440,Natal,BR,-5.79,-35.21,73.4,100,90,9.17,moderate rain
441,Santa Vitoria,BR,-18.84,-50.12,59.85,73,0,10.31,clear sky
442,Alvdal,NO,62.11,10.63,60.8,77,75,9.17,broken clouds
443,Estevan,CA,49.13,-102.98,64.4,93,1,8.05,clear sky
444,Jacareacanga,BR,-6.22,-57.75,78.64,39,80,1.5,broken clouds
445,Deputatskiy,RU,69.3,139.9,38.21,85,99,4.52,light rain
446,Rongcheng,CN,30.63,117.85,93.0,86,100,4.92,moderate rain
447,Santa Helena,BR,-2.23,-45.3,71.62,98,52,3.38,broken clouds
448,Port Hedland,AU,-20.32,118.57,87.8,15,0,11.41,clear sky
449,Bela,IN,25.93,81.98,88.21,69,64,19.82,broken clouds
450,Ust-Shonosha,RU,61.15,41.34,66.0,62,45,1.77,scattered clouds
451,Zyryanskoye,RU,56.83,86.63,70.47,47,91,6.67,overcast clouds
452,Sao Joao Da Barra,BR,-21.64,-41.05,69.08,80,100,19.46,overcast clouds
453,Balancan,MX,17.8,-91.53,75.74,91,70,4.45,broken clouds
454,Clemson,US,34.68,-82.84,70.0,88,75,4.7,light rain
455,Rafai,CF,4.95,23.92,76.53,84,72,1.9,broken clouds
456,Okha,RU,53.57,142.95,59.79,60,0,20.13,clear sky
457,Shimoda,JP,34.67,138.95,87.8,70,20,12.75,few clouds
458,Kalbay,PH,5.72,125.5,84.87,68,81,5.55,light rain
459,Sibu,MY,2.3,111.82,91.4,63,40,5.82,scattered clouds
460,Iesolo,IT,45.53,12.64,73.4,94,20,3.36,few clouds
461,Hastings,GB,50.86,0.57,68.0,72,0,13.0,clear sky
462,Vallenar,CL,-28.57,-70.76,53.13,52,0,0.29,clear sky
463,Kassala,SD,15.45,36.4,84.92,62,2,14.72,clear sky
464,Marsh Harbour,BS,26.54,-77.06,82.67,79,100,11.88,overcast clouds
465,Goundam,ML,16.41,-3.67,85.75,51,100,13.56,overcast clouds
466,Khuzhir,RU,53.19,107.34,58.37,82,100,9.37,overcast clouds
467,Sobolevo,RU,54.43,31.9,55.83,89,100,9.06,light rain
468,Orchard Homes,US,46.86,-114.05,63.0,62,1,4.7,clear sky
469,Gamba,GA,-2.65,10.0,73.51,80,76,3.15,broken clouds
470,Nanortalik,GL,60.14,-45.24,44.47,70,0,6.55,clear sky
471,Naron,ES,43.52,-8.15,66.0,93,20,11.21,few clouds
472,Dali,CN,25.7,100.18,78.76,56,37,2.39,light rain
473,Panguna,PG,-6.32,155.48,73.9,97,54,0.49,light rain
474,San Francisco Del Mar,MX,16.23,-94.65,81.73,78,100,4.63,moderate rain
475,Ourossogui,SN,15.61,-13.32,79.32,77,35,9.42,scattered clouds
476,Kahramanmaras,TR,38.0,37.0,82.4,58,0,20.8,clear sky
477,Flin Flon,CA,54.77,-101.86,58.69,64,2,5.82,clear sky
478,Cortez,US,37.35,-108.59,69.01,39,1,8.05,clear sky
479,Pavelets,RU,53.79,39.25,64.99,40,0,4.0,clear sky
480,Douentza,ML,15.0,-2.95,83.84,53,85,3.58,overcast clouds
481,Coaldale,CA,49.72,-112.62,59.0,54,1,9.17,clear sky
482,Tambo,PE,-14.8,-73.92,34.63,85,98,3.42,overcast clouds
483,Sao Filipe,CV,14.9,-24.5,75.99,77,100,4.81,overcast clouds
484,Eureka,US,40.8,-124.16,63.0,100,0,2.1,clear sky
485,Dinanagar,IN,32.15,75.47,89.51,57,46,8.21,scattered clouds
486,Nantucket,US,41.28,-70.1,66.2,88,1,8.05,clear sky
487,Mayumba,GA,-3.43,10.66,72.75,84,71,4.29,broken clouds
488,Pinsk,BY,52.12,26.1,68.92,80,10,5.32,clear sky
489,Kamuli,UG,0.95,33.12,77.85,65,24,2.55,few clouds
490,Taybad,IR,34.74,60.78,90.1,13,0,20.47,clear sky
491,Astoria,US,46.19,-123.83,66.99,93,90,11.41,light rain
492,Cabedelo,BR,-6.98,-34.83,73.4,100,75,5.82,light rain
493,Qaracala,AZ,39.81,48.95,89.24,27,0,4.41,clear sky
494,Togur,RU,58.36,82.83,64.85,47,100,13.11,overcast clouds
495,Saint-Pierre,RE,-21.34,55.48,77.0,65,30,16.11,scattered clouds
496,Chara,RU,56.91,118.26,70.81,42,99,4.56,overcast clouds
497,Ahipara,NZ,-35.17,173.17,56.7,86,0,13.58,light rain
498,Boyabat,TR,41.47,34.77,75.2,64,40,18.34,scattered clouds
499,Quatre Cocos,MU,-20.21,57.76,77.0,64,75,8.05,broken clouds
500,Araguaina,BR,-7.19,-48.21,72.68,38,54,2.8,broken clouds
501,Libourne,FR,44.92,-0.25,71.6,88,80,3.36,broken clouds
502,Datong,CN,40.09,113.29,77.43,42,20,6.91,few clouds
503,Wau,SS,7.7,28.0,79.05,83,96,2.73,overcast clouds
504,Tura,IN,25.52,90.22,82.81,77,88,4.14,light rain
505,Mecca,SA,21.43,39.83,99.18,26,56,6.8,broken clouds
506,Clyde River,CA,70.47,-68.59,43.09,91,99,8.52,overcast clouds
507,Portland,US,45.52,-122.68,70.0,77,90,4.7,light rain
508,Ormara,PK,25.21,64.64,83.5,77,100,8.01,overcast clouds
509,Lavrentiya,RU,65.58,-171.0,47.62,86,100,7.4,overcast clouds
510,Half Moon Bay,US,37.46,-122.43,64.99,93,90,8.05,mist
511,Nikolayevsk-Na-Amure,RU,53.14,140.73,64.44,46,52,10.71,broken clouds
512,Wonthaggi,AU,-38.6,145.59,51.01,76,100,21.43,light rain
513,Passi,PH,11.15,122.65,86.2,77,100,6.4,light rain
514,Kuching,MY,1.55,110.33,91.4,63,40,5.82,scattered clouds
515,Jalu,LY,29.03,21.55,81.77,53,0,9.57,clear sky
516,Omboue,GA,-1.57,9.26,73.81,79,100,4.47,overcast clouds
517,Ternate,ID,0.8,127.4,83.07,75,6,9.89,clear sky
518,Mbanza-Ngungu,CD,-5.25,14.87,68.65,82,100,7.76,overcast clouds
519,Mendi,PG,-6.18,143.65,61.21,98,90,2.15,moderate rain
520,Sinnamary,GF,5.38,-52.95,77.31,86,98,11.63,overcast clouds
521,Buta,CD,2.79,24.73,76.33,81,97,0.69,overcast clouds
522,Bani Walid,LY,31.76,13.99,77.36,69,0,5.23,clear sky
523,Jutai,BR,-5.18,-68.9,75.92,77,1,0.58,clear sky
524,Krasnokamensk,RU,50.1,118.04,74.55,51,95,13.82,overcast clouds
525,Chifeng,CN,42.27,118.96,74.7,38,0,5.17,clear sky
526,Gallup,US,35.53,-108.74,75.99,23,1,4.7,clear sky
527,Zhezkazgan,KZ,47.8,67.71,73.4,23,0,22.37,clear sky
528,Jeremie,HT,18.65,-74.12,80.31,76,7,3.0,clear sky
529,Tezu,IN,27.92,96.17,88.77,58,46,3.2,scattered clouds
530,Orsha,BY,54.52,30.41,59.0,93,90,8.95,light intensity shower rain
531,Paamiut,GL,61.99,-49.67,43.88,83,1,1.12,clear sky
532,Viedma,AR,-40.81,-63.0,46.58,65,0,6.96,clear sky
533,Vao,NC,-22.67,167.48,71.38,76,19,8.97,few clouds
534,Yining,CN,29.04,114.56,92.32,59,48,2.86,light rain
535,Faanui,PF,-16.48,-151.75,77.61,80,0,23.42,light rain
536,Miracema Do Tocantins,BR,-9.56,-48.4,70.48,38,0,2.26,clear sky
537,Vestmanna,FO,62.16,-7.17,55.4,93,100,13.87,overcast clouds
538,Odweyne,SO,9.41,45.06,78.48,54,80,23.38,broken clouds
539,Tombouctou,ML,20.0,-3.0,94.19,13,0,12.15,clear sky
540,Akureyri,IS,65.68,-18.09,35.6,93,4,3.56,clear sky
541,Uray,RU,60.12,64.78,66.4,65,0,9.06,light rain
542,Nyurba,RU,63.28,118.33,63.5,36,100,2.59,overcast clouds
543,Vikulovo,RU,56.82,70.61,61.0,77,100,6.98,overcast clouds
544,Pirovskoye,RU,57.63,92.27,74.8,47,100,7.09,overcast clouds
545,Tabas,IR,33.6,56.92,98.6,13,0,2.24,clear sky
546,La Rioja,ES,42.25,-2.5,66.2,77,0,2.24,clear sky
547,Mazara Del Vallo,IT,37.66,12.59,79.0,83,20,3.36,few clouds
548,Hervey Bay,AU,-25.3,152.85,73.0,33,0,14.99,clear sky
549,Sarkand,KZ,45.41,79.92,77.0,25,100,18.01,light rain
550,Avera,US,33.19,-82.53,73.4,100,90,3.36,overcast clouds
551,Kachug,RU,53.96,105.88,75.65,32,100,2.13,overcast clouds
552,Salalah,OM,17.02,54.09,77.0,100,90,5.82,light intensity drizzle
553,Olinda,BR,-8.01,-34.86,75.2,94,90,10.29,light rain
554,Cape Girardeau,US,37.31,-89.52,66.2,93,1,3.36,clear sky
555,Rioblanco,CO,3.53,-75.68,62.37,82,100,3.18,light rain
556,Ketchikan,US,55.34,-131.65,60.8,77,75,8.05,broken clouds
557,Friockheim,GB,56.64,-2.66,59.0,87,75,16.11,light intensity shower rain
558,Ulaangom,MN,49.98,92.07,77.27,34,1,10.71,clear sky
559,Harindanga,IN,22.04,88.32,80.6,94,75,6.93,haze
560,Douglas,US,41.3,-96.17,71.6,73,1,6.93,clear sky
561,Fairbanks,US,64.84,-147.72,59.0,87,40,4.7,scattered clouds
562,Jacksonville Beach,US,30.29,-81.39,73.4,94,40,3.36,scattered clouds
563,Tenenkou,ML,14.46,-4.92,79.34,75,100,12.21,overcast clouds
564,Kailua,US,21.4,-157.74,78.8,69,40,11.41,scattered clouds
565,Ola,RU,59.58,151.28,53.98,56,100,19.55,overcast clouds
566,Sola,VU,-13.88,167.55,84.2,79,75,11.72,broken clouds
567,Altamont,US,42.21,-121.74,64.4,45,1,9.17,clear sky
568,Boguchany,RU,58.38,97.45,80.38,33,6,2.48,clear sky
569,Bay Roberts,CA,47.6,-53.26,57.99,1,1,13.8,clear sky
570,Sechura,PE,-5.56,-80.82,62.11,82,100,7.87,overcast clouds
571,Araouane,ML,18.9,-3.53,92.8,25,0,4.68,clear sky
572,Sao Felix Do Xingu,BR,-6.64,-51.99,71.19,43,0,1.01,clear sky
573,Urumqi,CN,43.8,87.6,86.0,20,67,6.71,broken clouds
574,Faya,SA,18.39,42.45,80.6,29,42,5.82,scattered clouds
575,Chapleau,CA,47.84,-83.4,52.16,96,1,2.21,clear sky
576,Megion,RU,61.03,76.11,51.8,93,90,8.95,light rain
577,Ondangwa,NA,-17.92,15.95,51.8,14,48,4.7,scattered clouds
578,Laguna,US,38.42,-121.42,72.0,64,90,3.36,smoke
579,Boende,CD,-0.22,20.87,74.84,89,100,3.6,light rain
580,Tazmalt,DZ,36.39,4.4,75.2,64,1,2.24,clear sky
581,Contamana,PE,-7.33,-75.02,71.42,98,23,1.1,few clouds
582,Eyl,SO,7.98,49.82,86.76,48,98,27.09,overcast clouds
583,Nogales,MX,31.31,-110.94,75.0,64,1,4.21,clear sky
584,Tual,ID,-5.67,132.75,79.45,81,21,12.84,few clouds
585,Upata,VE,8.01,-62.4,79.0,93,92,1.99,moderate rain
586,Burgeo,CA,47.62,-57.62,58.32,80,0,15.23,clear sky
587,Srednekolymsk,RU,67.45,153.68,45.79,56,100,12.77,overcast clouds
588,Palmer,US,42.16,-72.33,60.01,93,1,3.65,clear sky
589,Kurmanayevka,RU,52.51,52.07,64.27,50,4,11.45,clear sky
590,Savalou,BJ,7.93,1.98,72.23,95,100,4.81,moderate rain
591,Novobelokatay,RU,55.71,58.95,53.46,93,100,10.8,overcast clouds
592,Luanda,AO,-8.84,13.23,69.8,88,75,6.93,broken clouds
593,Coxim,BR,-18.51,-54.76,60.42,66,100,9.15,overcast clouds
594,Khombole,SN,14.77,-16.7,77.0,94,75,5.82,light rain
595,Uniao,BR,-4.59,-42.86,75.2,88,72,3.36,broken clouds
596,Egvekinot,RU,66.32,-179.17,48.13,87,48,7.92,scattered clouds
597,Jumla,NP,29.27,82.18,73.0,95,28,1.01,light rain
598,Pamanukan,ID,-6.28,107.81,88.63,48,82,15.93,broken clouds
599,Birjand,IR,32.87,59.22,91.4,9,0,11.41,clear sky
600,Tapejara,BR,-28.07,-52.01,30.63,97,0,5.12,clear sky
601,Road Town,VG,18.42,-64.62,82.99,87,54,18.01,light rain
602,Chimoio,MZ,-19.12,33.48,60.8,100,90,5.66,drizzle
603,Bajil,YE,15.06,43.29,95.2,45,35,5.99,scattered clouds
604,Akyab,MM,20.15,92.9,82.26,83,100,9.86,overcast clouds
605,Athens,GR,37.98,23.72,82.0,47,20,9.17,few clouds
606,Touros,BR,-5.2,-35.46,73.4,100,75,4.7,broken clouds
607,Barzas,RU,55.72,86.32,57.2,87,40,8.95,light intensity shower rain
608,Mildura,AU,-34.2,142.15,53.01,71,84,16.11,light rain
609,Rock Sound,BS,24.9,-76.2,82.42,82,100,14.63,overcast clouds
610,Loma Bonita,PA,8.38,-80.17,79.0,99,100,9.33,overcast clouds
611,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,74.73,80,0,1.88,clear sky
612,Evanton,GB,57.66,-4.34,61.0,77,40,16.11,light rain
613,Coihaique,CL,-45.58,-72.07,33.08,92,14,5.84,few clouds
614,Dong Hoi,VN,17.48,106.6,85.96,73,100,4.45,moderate rain
615,Troitskoye,RU,52.98,84.68,75.83,39,3,6.8,clear sky
616,Ca Mau,VN,9.18,105.15,91.54,54,100,9.69,overcast clouds
617,Puerto Leguizamo,CO,-0.19,-74.78,72.86,98,100,1.28,overcast clouds
618,Kendari,ID,-3.94,122.5,84.06,61,0,7.02,clear sky
619,Roald,NO,62.58,6.13,64.99,93,74,10.29,broken clouds
620,Matara,LK,5.95,80.54,86.86,63,39,12.77,scattered clouds
621,Umm Kaddadah,SD,13.6,26.69,84.6,50,56,7.34,broken clouds
622,Huilong,CN,31.81,121.66,91.0,70,50,4.0,scattered clouds
623,Praia Da Vitoria,PT,38.73,-27.07,68.0,88,90,11.68,light intensity drizzle rain
624,Tokur,RU,53.13,132.9,62.42,64,88,8.72,light rain
625,Bilma,NE,18.69,12.92,91.94,32,93,6.33,overcast clouds
626,Springbok,ZA,-29.66,17.89,54.36,34,0,15.61,clear sky
627,Piripiri,BR,-4.27,-41.78,71.83,82,91,2.44,overcast clouds
628,Champasak,LA,14.75,106.0,89.6,70,40,6.93,moderate rain
629,Williams Lake,CA,52.14,-122.14,62.6,63,90,11.41,light intensity shower rain
630,Villa Carlos Paz,AR,-31.42,-64.5,36.0,54,0,5.82,clear sky
631,Slave Lake,CA,55.28,-114.77,59.0,87,90,1.74,light rain
632,Bambanglipuro,ID,-7.95,110.28,89.2,45,100,12.75,overcast clouds
633,Sioux Lookout,CA,50.1,-91.92,59.0,93,5,4.7,clear sky
634,Davao,PH,6.81,125.71,89.6,62,40,9.17,scattered clouds
635,Srivardhan,IN,18.03,73.02,79.83,86,100,11.72,moderate rain
636,Tiznit,MA,29.58,-9.5,78.24,34,0,1.48,clear sky
637,Port Macquarie,AU,-31.43,152.92,66.0,38,73,4.0,broken clouds
638,Raga,SS,8.46,25.68,78.64,85,0,0.85,clear sky
639,Mankono,CI,8.06,-6.19,70.66,94,100,4.09,overcast clouds
640,Olafsvik,IS,64.89,-23.71,49.82,71,0,20.47,clear sky
641,Chimore,BO,-16.98,-65.13,51.35,92,100,1.57,overcast clouds
642,Cabra,ES,37.47,-4.44,70.0,28,0,1.19,clear sky
643,Nouadhibou,MR,20.93,-17.03,73.4,83,0,4.7,clear sky
644,Ranong,TH,9.97,98.63,87.8,70,75,6.93,broken clouds
645,Santa Cruz,BO,-17.8,-63.17,46.4,81,90,17.22,overcast clouds
646,Aden,YE,12.78,45.04,87.71,63,95,8.61,overcast clouds
647,Benavente,ES,42.0,-5.68,68.0,93,20,3.36,fog
648,Mansehra,PK,34.33,73.2,79.41,67,21,4.88,moderate rain
649,Ballina,AU,-28.87,153.57,68.0,32,40,8.05,scattered clouds
650,Bonavista,CA,48.65,-53.11,59.0,85,0,15.01,clear sky
651,Kerema,PG,-7.96,145.78,79.16,80,64,6.82,broken clouds
652,Beringovskiy,RU,63.05,179.32,52.66,89,100,14.18,overcast clouds
653,Kawalu,ID,-7.38,108.21,88.92,37,17,8.52,few clouds
654,Aksu,CN,41.12,80.26,86.27,24,16,4.5,few clouds
655,Black River,JM,18.03,-77.85,80.6,78,75,4.7,broken clouds
656,Camacupa,AO,-12.02,17.48,62.37,26,0,8.48,clear sky
657,Pacific Grove,US,36.62,-121.92,66.2,72,90,5.82,haze
658,Whitehorse,CA,60.72,-135.05,53.6,93,90,3.36,light rain
659,Banda Aceh,ID,5.56,95.32,84.65,68,93,7.87,light rain
660,Farmington,US,36.73,-108.22,73.4,16,1,3.36,clear sky
661,Liwale,TZ,-9.77,37.93,78.3,46,52,5.03,broken clouds
662,Nara,JP,34.69,135.8,108.0,50,40,12.75,scattered clouds
663,Agadir,MA,30.42,-9.6,66.2,100,90,4.7,fog
664,Sawakin,SD,19.11,37.33,100.99,33,84,1.63,broken clouds
665,Nizhneivkino,RU,58.19,49.52,54.86,78,100,8.66,overcast clouds
666,Bairiki,KI,1.33,172.98,84.2,70,75,9.17,broken clouds
667,Sadiqabad,PK,28.31,70.13,103.51,35,96,10.07,overcast clouds
668,Atambua,ID,-9.11,124.89,83.7,43,0,1.32,clear sky
669,Lubumbashi,CD,-11.66,27.48,72.09,44,40,12.33,scattered clouds
670,Ust-Maya,RU,60.42,134.53,63.14,36,47,8.84,scattered clouds
671,Comodoro Rivadavia,AR,-45.87,-67.5,51.8,40,0,13.87,clear sky
672,Mizan Teferi,ET,6.98,35.58,72.43,67,88,1.9,overcast clouds
673,Kurchum,KZ,48.57,83.65,82.4,20,100,12.62,overcast clouds
674,Kyren,RU,51.68,102.14,69.46,64,37,2.73,light rain
675,San Carlos,VE,9.66,-68.58,73.69,91,0,2.55,clear sky
676,Olivenza,ES,38.68,-7.1,75.2,78,75,8.05,broken clouds
677,Sao Mateus,BR,-18.72,-39.86,69.85,93,96,4.09,light rain
678,Kirgiz-Miyaki,RU,53.63,54.8,57.81,78,90,7.67,light rain
679,Vuktyl,RU,63.86,57.31,55.02,80,100,12.33,overcast clouds
680,Guiyang,CN,26.58,106.72,82.4,58,75,4.47,broken clouds
681,Shizukuishi,JP,39.68,140.98,89.6,55,40,8.05,scattered clouds
682,San Marcos,US,33.14,-117.17,73.0,94,1,1.34,clear sky
683,Chivacoa,VE,10.16,-68.89,84.2,70,30,3.36,scattered clouds
684,Apostolove,UA,47.66,33.71,80.01,41,67,7.11,broken clouds
685,Tilichiki,RU,60.47,166.1,47.17,98,100,6.89,light rain
686,Wilmington Island,US,32.0,-80.97,82.0,78,20,6.04,few clouds
687,Alofi,NU,-19.06,-169.92,77.0,94,0,4.7,clear sky
688,Bethanien,NA,-26.5,17.16,53.92,29,0,5.66,clear sky
689,Jambi,ID,-1.6,103.62,94.8,38,14,4.54,few clouds
